"(-123.18924713134764, 49.2191429138142)","(-123.15931701660156, 49.21135711669506)","(-123.05459594726562, 49.21285247802319)","(-123.16479492187496, 49.27556610107008)","(-123.11827087402342, 49.24301528930249)","(-123.07701110839844, 49.219184875484125)","(-123.15468597412108, 49.240097045894295)","(0.0, 0.0)","(-123.13200378417967, 49.2571525573689)","(0.0, 0.0)","(-123.03148651123048, 49.26192855834546)","(-123.12030029296876, 49.2014884948689)","(-123.1184310913086, 49.24087142943921)","(-123.09686279296876, 49.26697158813063)","(0.0, 0.0)","(-123.05658721923828, 49.26198196410718)","(-123.08129119873048, 49.265171051021255)","(0.0, 0.0)","(-123.0370864868164, 49.23300552367751)","(-123.09098815917967, 49.20412445067944)","(0.0, 0.0)"
"(-123.18953704833984, 49.21924972533764)","(-123.15892791748044, 49.21108627318921)","(-123.0544891357422, 49.21295928954663)","(-123.15970611572264, 49.27554702758375)","(-123.11829376220702, 49.242973327632576)","(-123.07742309570314, 49.21997070312085)","(-123.15461730957033, 49.24016571044507)","(0.0, 0.0)","(-123.1322479248047, 49.25726699828687)","(0.0, 0.0)","(-123.03170776367188, 49.26189422607008)","(-123.12049102783205, 49.20137405395092)","(-123.1184310913086, 49.2409286498982)","(-123.096923828125, 49.26700592040602)","(0.0, 0.0)","(0.0, 0.0)","(-123.08111572265624, 49.26515960692946)","(0.0, 0.0)","(-123.03717803955078, 49.23297119140211)","(-123.09117126464844, 49.204116821284906)","(0.0, 0.0)"
"(-123.18983459472652, 49.21934890746656)","(-123.15856170654295, 49.210803985591554)","(-123.05437469482423, 49.2130622863728)","(-123.15265655517577, 49.280307769771255)","(-123.1183090209961, 49.24292755126539)","(-123.07703399658205, 49.23266601562084)","(-123.15453338623048, 49.24023056029859)","(0.0, 0.0)","(-123.13249969482422, 49.25737380981031)","(0.0, 0.0)","(-123.03193664550784, 49.26186370849196)","(-123.1206817626953, 49.20126342773022)","(-123.11834716796876, 49.24274444579663)","(-123.10066986083984, 49.269130706782974)","(0.0, 0.0)","(0.0, 0.0)","(-123.08094787597658, 49.26515579223218)","(0.0, 0.0)","(-123.03726959228516, 49.23294067382396)","(-123.09136199951172, 49.20411300658765)","(0.0, 0.0)"
"(-123.19014739990232, 49.2194328308064)","(-123.15821075439452, 49.21050643920484)","(-123.05175018310548, 49.21535491942944)","(-123.14600372314456, 49.28031539916578)","(-123.11832427978516, 49.242881774898194)","(-123.06674194335938, 49.23255538940015)","(-123.1544494628906, 49.24029159545484)","(0.0, 0.0)","(-123.13276672363284, 49.25747299193922)","(0.0, 0.0)","(-123.03216552734376, 49.26184463500563)","(-123.12088775634766, 49.20116424560131)","(-123.11834716796876, 49.24278640746655)","(-123.10060119628906, 49.270889282222434)","(0.0, 0.0)","(0.0, 0.0)","(-123.0774154663086, 49.26514053344312)","(0.0, 0.0)","(-123.03736114501952, 49.23291397094312)","(-123.10379028320312, 49.20408248900952)","(0.0, 0.0)"
"(-123.1904602050781, 49.21950912475172)","(-123.1578903198242, 49.21020126342358)","(-123.0515365600586, 49.21555709838451)","(-123.14358520507812, 49.27966690063063)","(-123.11833953857422, 49.24283599853101)","(-123.06444549560548, 49.232864379878656)","(-123.15435791015624, 49.24035263061109)","(0.0, 0.0)","(-123.1330337524414, 49.257560729976326)","(0.0, 0.0)","(-123.03239440917967, 49.26183319091383)","(-123.12110900878903, 49.201068878169664)","(-123.11833953857422, 49.24282455443922)","(-123.10003662109376, 49.27192306518141)","(0.0, 0.0)","(0.0, 0.0)","(-123.07758331298828, 49.25662612914625)","(0.0, 0.0)","(-123.0374526977539, 49.23289108275952)","(-123.10507202148438, 49.20407104491771)","(0.0, 0.0)"
"(-123.19077301025388, 49.21957397460523)","(-123.157600402832, 49.20988082885327)","(-123.05133819580078, 49.215766906734125)","(-123.14125823974612, 49.27829360961501)","(-123.11834716796876, 49.24279022216382)","(-123.05885314941406, 49.232807159419686)","(-123.15426635742185, 49.2404060363728)","(0.0, 0.0)","(-123.13331604003906, 49.25764083861892)","(0.0, 0.0)","(-123.03262329101564, 49.26182937621656)","(-123.12133026123048, 49.20098114013255)","(-123.11833190917967, 49.242866516109146)","(-123.09999847412112, 49.272750854488045)","(0.0, 0.0)","(0.0, 0.0)","(-123.07778930664062, 49.25663375854078)","(0.0, 0.0)","(-123.0375518798828, 49.2328720092732)","(-123.1063537597656, 49.20412063598216)","(0.0, 0.0)"
"(-123.19110107421872, 49.21962356566967)","(-123.15755462646482, 49.209831237788805)","(-123.05115509033205, 49.21598434447826)","(-123.13768005371092, 49.27531814574782)","(-123.11834716796876, 49.24274444579663)","(-123.04875183105467, 49.23275375365796)","(-123.15416717529295, 49.24045944213453)","(0.0, 0.0)","(-123.13359832763672, 49.25770950316969)","(0.0, 0.0)","(-123.04424285888672, 49.26187133788648)","(-123.12155914306642, 49.20090484618725)","(-123.1183166503906, 49.24290466308178)","(-123.0992889404297, 49.28927230834548)","(0.0, 0.0)","(0.0, 0.0)","(-123.07779693603514, 49.25619888305251)","(0.0, 0.0)","(-123.03765106201172, 49.23285675048412)","(-123.10696411132812, 49.20415878295483)","(0.0, 0.0)"
"(-123.19758605957028, 49.22055435180248)","(-123.15750122070312, 49.20978546142162)","(-123.05099487304688, 49.216209411616944)","(0.0, 0.0)","(-123.1184310913086, 49.2409286498982)","(-123.0488052368164, 49.22929382323803)","(-123.15406036376952, 49.24050903319898)","(0.0, 0.0)","(-123.1338882446289, 49.257770538325936)","(0.0, 0.0)","(-123.04424285888672, 49.261936187739984)","(-123.12179565429688, 49.20083618163648)","(-123.11830139160158, 49.2429466247517)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(-123.08984375, 49.25637817382398)","(0.0, 0.0)","(-123.03775024414064, 49.23284149169508)","(0.0, 0.0)","(0.0, 0.0)"
"(-123.19785308837888, 49.220600128169664)","(-123.1574478149414, 49.20973968505445)","(-123.05085754394533, 49.21644210815013)","(0.0, 0.0)","(-123.1184310913086, 49.24087142943921)","(-123.0500717163086, 49.229293823238045)","(-123.1539611816406, 49.24055480956617)","(0.0, 0.0)","(-123.1341781616211, 49.25782012939039)","(0.0, 0.0)","(-123.05658721923828, 49.26198196410718)","(-123.1278533935547, 49.199172973628656)","(-123.11827850341798, 49.24298477172438)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(-123.10120391845705, 49.25654602050365)","(0.0, 0.0)","(-123.03784942626956, 49.23283386230054)","(0.0, 0.0)","(0.0, 0.0)"
"(-123.19811248779295, 49.22065353393138)","(-123.15738677978511, 49.20969390868725)","(-123.05073547363284, 49.21667480468336)","(0.0, 0.0)","(-123.11842346191406, 49.24081802367749)","(-123.05055999755858, 49.21715927123606)","(-123.15384674072264, 49.24059677123608)","(0.0, 0.0)","(-123.1344757080078, 49.25785827636303)","(0.0, 0.0)","(-123.05658721923828, 49.26217651366774)","(-123.12913513183594, 49.19904327392162)","(-123.1182556152344, 49.24302291869702)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(-123.11504364013672, 49.25687026977125)","(0.0, 0.0)","(-123.0467071533203, 49.23288726806225)","(0.0, 0.0)","(0.0, 0.0)"
